,Flight_id,Start_location,End_location,Start_date,End_date,Start_time,End_time,Duration,Price,Origin_airport,Destinantion_airport,Number_of_grounds,Is_return
55,c7d7f2ca-6b28-4413-844c-fcf693b10677,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,08:20,11:40,2h 20m,332 zł,LTN,KTW,0,True
56,14b62fa3-1505-47a0-9b02-fa78e6cb222b,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,19:40,21:10,2h 30m,352 zł,KTW,LTN,0,False
57,14b62fa3-1505-47a0-9b02-fa78e6cb222b,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,08:20,11:40,2h 20m,352 zł,LTN,KTW,0,True
58,1449a81e-d386-4747-9156-beeeef9e9528,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,21:25,22:45,2h 20m,386 zł,KTW,STN,0,False
59,1449a81e-d386-4747-9156-beeeef9e9528,katowice-polska,londyn-wielka-brytania,2024-04-05,2024-04-07,08:20,11:40,2h 20m,386 zł,LTN,KTW,0,True
60,d9a338ae-e17d-4e72-a10b-b87d1e7b8622,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,17:50,20:50,4h,385 zł,KTW,STN,1,False
61,d9a338ae-e17d-4e72-a10b-b87d1e7b8622,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,17:30,20:40,2h 10m,385 zł,STN,KTW,0,True
62,5e9bc4b0-2a81-4a5d-b66c-80d9710d1e81,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,19:40,21:10,2h 30m,442 zł,KTW,LTN,0,False
63,5e9bc4b0-2a81-4a5d-b66c-80d9710d1e81,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,17:30,20:40,2h 10m,442 zł,STN,KTW,0,True
64,38158ca2-5e62-4b8e-a42c-f61704b25104,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,06:05,07:35,2h 30m,442 zł,KTW,LTN,0,False
65,38158ca2-5e62-4b8e-a42c-f61704b25104,katowice-polska,londyn-wielka-brytania,2024-04-12,2024-04-14,17:30,20:40,2h 10m,442 zł,STN,KTW,0,True
66,c7b37e06-03db-4049-828a-9605d5337104,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,21:25,22:45,2h 20m,275 zł,KTW,STN,0,False
67,c7b37e06-03db-4049-828a-9605d5337104,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,08:20,11:40,2h 20m,275 zł,LTN,KTW,0,True
68,5f6c0b75-9b26-42f1-8602-0a7eb842f874,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,06:05,07:35,2h 30m,312 zł,KTW,LTN,0,False
69,5f6c0b75-9b26-42f1-8602-0a7eb842f874,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,08:20,11:40,2h 20m,312 zł,LTN,KTW,0,True
70,8d9703c4-0089-4b73-8fa4-24dcc2a85bbb,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,19:40,21:10,2h 30m,312 zł,KTW,LTN,0,False
71,8d9703c4-0089-4b73-8fa4-24dcc2a85bbb,katowice-polska,londyn-wielka-brytania,2024-04-19,2024-04-21,08:20,11:40,2h 20m,312 zł,LTN,KTW,0,True
72,af0513e7-919c-41f7-bb97-6daaf5f0f2ed,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,06:05,07:35,2h 30m,332 zł,KTW,LTN,0,False
73,af0513e7-919c-41f7-bb97-6daaf5f0f2ed,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,08:20,11:40,2h 20m,332 zł,LTN,KTW,0,True
74,cfecbb83-cc9c-4bd4-8e0c-0389a42787ab,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,06:05,07:35,2h 30m,347 zł,KTW,LTN,0,False
75,cfecbb83-cc9c-4bd4-8e0c-0389a42787ab,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,17:30,20:40,2h 10m,347 zł,STN,KTW,0,True
76,993da166-d1f4-4164-8bd3-c2ce386df639,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,21:25,22:45,2h 20m,370 zł,KTW,STN,0,False
77,993da166-d1f4-4164-8bd3-c2ce386df639,katowice-polska,londyn-wielka-brytania,2024-04-26,2024-04-28,08:20,11:40,2h 20m,370 zł,LTN,KTW,0,True
78,f62c7bf4-2cb9-490f-834a-f734630a34b5,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,21:25,22:45,2h 20m,446 zł,KTW,STN,0,False
79,f62c7bf4-2cb9-490f-834a-f734630a34b5,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,08:20,11:40,2h 20m,446 zł,LTN,KTW,0,True
80,853e2fe7-eff6-4002-ae00-574a9c1e48a4,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,19:40,21:10,2h 30m,492 zł,KTW,LTN,0,False
81,853e2fe7-eff6-4002-ae00-574a9c1e48a4,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,08:20,11:40,2h 20m,492 zł,LTN,KTW,0,True
82,8e924fda-91cb-45ae-b18e-1bd7db4a23a4,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,19:40,21:10,2h 30m,522 zł,KTW,LTN,0,False
83,8e924fda-91cb-45ae-b18e-1bd7db4a23a4,katowice-polska,londyn-wielka-brytania,2024-05-03,2024-05-05,17:30,20:40,2h 10m,522 zł,STN,KTW,0,True
84,042d03a7-3d98-4994-9732-841e5cf981c4,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,06:05,07:35,2h 30m,312 zł,KTW,LTN,0,False
85,042d03a7-3d98-4994-9732-841e5cf981c4,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,08:20,11:40,2h 20m,312 zł,LTN,KTW,0,True
86,4d95be08-c0f3-4751-8145-f113ebf09033,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,21:25,22:45,2h 20m,335 zł,KTW,STN,0,False
87,4d95be08-c0f3-4751-8145-f113ebf09033,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,08:20,11:40,2h 20m,335 zł,LTN,KTW,0,True
88,1389a191-0810-4c4f-a7c5-f1a6a59d428e,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,19:40,21:10,2h 30m,352 zł,KTW,LTN,0,False
89,1389a191-0810-4c4f-a7c5-f1a6a59d428e,katowice-polska,londyn-wielka-brytania,2024-05-10,2024-05-12,08:20,11:40,2h 20m,352 zł,LTN,KTW,0,True
90,57b7fd86-899b-4fe7-82f4-dfc06eb87d7d,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,19:40,21:10,2h 30m,361 zł,KTW,LTN,0,False
91,57b7fd86-899b-4fe7-82f4-dfc06eb87d7d,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,17:30,20:40,2h 10m,361 zł,STN,KTW,0,True
92,15899912-bef7-46c7-9ecd-08fee5086178,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,21:25,22:45,2h 20m,378 zł,KTW,STN,0,False
93,15899912-bef7-46c7-9ecd-08fee5086178,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,08:20,11:40,2h 20m,378 zł,LTN,KTW,0,True
94,52092773-3163-4ea6-80a4-350607f07f18,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,21:25,22:45,2h 20m,378 zł,KTW,STN,0,False
95,52092773-3163-4ea6-80a4-350607f07f18,katowice-polska,londyn-wielka-brytania,2024-05-17,2024-05-19,21:55,01:15,2h 20m,378 zł,LTN,KTW,0,True
96,5fabb08c-a346-4f35-9511-04f12cd23eb1,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,21:25,22:45,2h 20m,375 zł,KTW,STN,0,False
97,5fabb08c-a346-4f35-9511-04f12cd23eb1,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,21:55,01:15,2h 20m,375 zł,LTN,KTW,0,True
98,81e1cc33-a407-4502-8fdc-1f566dabe7a5,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,21:25,22:45,2h 20m,442 zł,KTW,STN,0,False
99,81e1cc33-a407-4502-8fdc-1f566dabe7a5,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,08:20,11:40,2h 20m,442 zł,LTN,KTW,0,True
100,d15e3b7c-5cb9-473f-afc0-fcbc54fcd4d5,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,06:05,07:35,2h 30m,512 zł,KTW,LTN,0,False
101,d15e3b7c-5cb9-473f-afc0-fcbc54fcd4d5,katowice-polska,londyn-wielka-brytania,2024-05-24,2024-05-26,21:55,01:15,2h 20m,512 zł,LTN,KTW,0,True
102,8eff261f-451b-41f8-b3d6-8c03ccc6247c,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,21:25,22:45,2h 20m,577 zł,KTW,STN,0,False
103,8eff261f-451b-41f8-b3d6-8c03ccc6247c,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,08:20,11:40,2h 20m,577 zł,LTN,KTW,0,True
104,42e44fb7-893b-4ada-8da8-84fb9a169c22,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,19:40,21:10,2h 30m,622 zł,KTW,LTN,0,False
105,42e44fb7-893b-4ada-8da8-84fb9a169c22,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,08:20,11:40,2h 20m,622 zł,LTN,KTW,0,True
106,75a5e85b-b99a-481d-a09f-95852d8c8856,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,19:40,21:10,2h 30m,635 zł,KTW,LTN,0,False
107,75a5e85b-b99a-481d-a09f-95852d8c8856,katowice-polska,londyn-wielka-brytania,2024-05-31,2024-06-02,17:30,20:40,2h 10m,635 zł,STN,KTW,0,True
108,1e1cadb4-877a-4dd5-ab0a-cd5bd411a800,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,21:25,22:45,2h 20m,388 zł,KTW,STN,0,False
109,1e1cadb4-877a-4dd5-ab0a-cd5bd411a800,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,08:20,11:40,2h 20m,388 zł,LTN,KTW,0,True
110,e3898b2d-5e27-44f8-baf1-52c3b193a896,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,19:40,21:10,2h 30m,421 zł,KTW,LTN,0,False
111,e3898b2d-5e27-44f8-baf1-52c3b193a896,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,17:30,20:40,2h 10m,421 zł,STN,KTW,0,True
112,5585f702-29c9-4d04-bf84-042d508eec8a,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,21:25,22:45,2h 20m,460 zł,KTW,STN,0,False
113,5585f702-29c9-4d04-bf84-042d508eec8a,katowice-polska,londyn-wielka-brytania,2024-06-07,2024-06-09,21:55,01:15,2h 20m,460 zł,LTN,KTW,0,True
114,ab37df11-1cd2-4b43-a6c6-39542878d5b4,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,21:25,22:45,2h 20m,442 zł,KTW,STN,0,False
115,ab37df11-1cd2-4b43-a6c6-39542878d5b4,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,21:55,01:15,2h 20m,442 zł,LTN,KTW,0,True
116,33b72d4f-a6dd-4131-bd19-53cc8cf2b932,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,21:25,22:45,2h 20m,442 zł,KTW,STN,0,False
117,33b72d4f-a6dd-4131-bd19-53cc8cf2b932,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,08:20,11:40,2h 20m,442 zł,LTN,KTW,0,True
118,636cb27e-4b54-42c4-a288-b2c0b0e9131b,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,19:40,21:10,2h 30m,542 zł,KTW,LTN,0,False
119,636cb27e-4b54-42c4-a288-b2c0b0e9131b,katowice-polska,londyn-wielka-brytania,2024-06-14,2024-06-16,08:20,11:40,2h 20m,542 zł,LTN,KTW,0,True
120,52600073-5179-425c-996f-e07abc648e5d,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,06:05,07:35,2h 30m,465 zł,KTW,LTN,0,False
121,52600073-5179-425c-996f-e07abc648e5d,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,17:30,20:40,2h 10m,465 zł,STN,KTW,0,True
122,9b9c12f5-c94f-44cb-866d-6d6cbecc62f4,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,19:40,21:10,2h 30m,465 zł,KTW,LTN,0,False
123,9b9c12f5-c94f-44cb-866d-6d6cbecc62f4,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,17:30,20:40,2h 10m,465 zł,STN,KTW,0,True
124,27595a6d-9fd9-402d-84c8-7c93d1fedc10,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,21:25,22:45,2h 20m,523 zł,KTW,STN,0,False
125,27595a6d-9fd9-402d-84c8-7c93d1fedc10,katowice-polska,londyn-wielka-brytania,2024-06-21,2024-06-23,08:20,11:40,2h 20m,523 zł,LTN,KTW,0,True
126,ce12ca9e-e8a1-4cae-a636-6283956d3083,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,19:40,21:10,2h 30m,677 zł,KTW,LTN,0,False
127,ce12ca9e-e8a1-4cae-a636-6283956d3083,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,17:30,20:40,2h 10m,677 zł,STN,KTW,0,True
128,2a2cb49a-ad08-4f7f-9277-1f8bf2081317,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,06:05,07:35,2h 30m,677 zł,KTW,LTN,0,False
129,2a2cb49a-ad08-4f7f-9277-1f8bf2081317,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,17:30,20:40,2h 10m,677 zł,STN,KTW,0,True
130,f6aa11cb-7181-451b-9b16-0455859aed35,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,21:25,22:45,2h 20m,755 zł,KTW,STN,0,False
131,f6aa11cb-7181-451b-9b16-0455859aed35,katowice-polska,londyn-wielka-brytania,2024-06-28,2024-06-30,21:55,01:15,2h 20m,755 zł,LTN,KTW,0,True
132,5f824fe0-9c92-4b2c-8a98-06e63f0e78fe,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,19:40,21:10,2h 30m,502 zł,KTW,LTN,0,False
133,5f824fe0-9c92-4b2c-8a98-06e63f0e78fe,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,17:30,20:40,2h 10m,502 zł,STN,KTW,0,True
134,815d1d7f-dc6d-4cd2-a518-0fe847a59187,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,06:05,07:35,2h 30m,532 zł,KTW,LTN,0,False
135,815d1d7f-dc6d-4cd2-a518-0fe847a59187,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,17:30,20:40,2h 10m,532 zł,STN,KTW,0,True
136,e79ce2ca-4c73-4279-b535-46b6c0c9273e,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,21:25,22:45,2h 20m,644 zł,KTW,STN,0,False
137,e79ce2ca-4c73-4279-b535-46b6c0c9273e,katowice-polska,londyn-wielka-brytania,2024-07-05,2024-07-07,21:55,01:15,2h 20m,644 zł,LTN,KTW,0,True
138,774bc0c5-9fe0-4f38-abe2-a53ab8ae236b,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,06:05,07:35,2h 30m,536 zł,KTW,LTN,0,False
139,774bc0c5-9fe0-4f38-abe2-a53ab8ae236b,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,17:30,20:40,2h 10m,536 zł,STN,KTW,0,True
140,3f855c27-d717-4866-9e07-cf0c9c1990d8,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,19:40,21:10,2h 30m,626 zł,KTW,LTN,0,False
141,3f855c27-d717-4866-9e07-cf0c9c1990d8,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,17:30,20:40,2h 10m,626 zł,STN,KTW,0,True
142,91807edf-70c1-4a19-8a05-69625a0e9b9b,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,11:55,17:15,6h 20m,663 zł,KTW,LTN,2,False
143,91807edf-70c1-4a19-8a05-69625a0e9b9b,katowice-polska,londyn-wielka-brytania,2024-07-12,2024-07-14,17:30,20:40,2h 10m,663 zł,STN,KTW,0,True
144,3ea6ef8c-3a8b-45bb-943d-435cc0140bbe,katowice-polska,londyn-wielka-brytania,2024-07-19,2024-07-21,06:05,07:35,2h 30m,767 zł,KTW,LTN,0,False
145,3ea6ef8c-3a8b-45bb-943d-435cc0140bbe,katowice-polska,londyn-wielka-brytania,2024-07-19,2024-07-21,17:30,20:40,2h 10m,767 zł,STN,KTW,0,True
146,0acd1336-eb52-42d2-b829-30e56ea6912f,katowice-polska,londyn-wielka-brytania,2024-07-19,2024-07-21,19:40,21:10,2h 30m,787 zł,KTW,LTN,0,False
147,0acd1336-eb52-42d2-b829-30e56ea6912f,katowice-polska,londyn-wielka-brytania,2024-07-19,2024-07-21,17:30,20:40,2h 10m,787 zł,STN,KTW,0,True
